phish_id,url,phish_detail_url,submission_time,verified,verification_time,online,target
1026109,http://kozakaah.hdfree.com.br/,http://www.phishtank.com/phish_detail.php?phish_id=1026109,2010-07-28T13:37:14+00:00,yes,2010-07-28T17:40:19+00:00,yes,Tibia
1026108,http://tibiaforumactionthread.hdfree.com.br/,http://www.phishtank.com/phish_detail.php?phish_id=1026108,2010-07-28T13:37:01+00:00,yes,2010-07-28T17:40:19+00:00,yes,Tibia
1026107,http://dragon16.hdfree.com.br/,http://www.phishtank.com/phish_detail.php?phish_id=1026107,2010-07-28T13:36:37+00:00,yes,2010-07-28T17:40:19+00:00,yes,Tibia
1026102,http://racke.hdfree.com.br/,http://www.phishtank.com/phish_detail.php?phish_id=1026102,2010-07-28T13:33:15+00:00,yes,2010-07-28T17:32:56+00:00,yes,Orkut
1025951,http://www.shamanstales.ru/includes/Archive/HSBC/index.html,http://www.phishtank.com/phish_detail.php?phish_id=1025951,2010-07-28T06:46:29+00:00,yes,2010-07-28T11:18:25+00:00,yes,"HSBC Group"
1025874,http://infoemail.internetbanking.com.br.bit.ly/aEsA42,http://www.phishtank.com/phish_detail.php?phish_id=1025874,2010-07-27T21:27:30+00:00,yes,2010-07-28T00:40:50+00:00,yes,Bradesco
1025868,http://www.bradesco.com.br.bit.ly/9sa53S,http://www.phishtank.com/phish_detail.php?phish_id=1025868,2010-07-27T21:19:37+00:00,yes,2010-07-28T00:41:22+00:00,yes,Bradesco
1025777,http://frontdesk.latter-blum.com/rl/temp/8090/43110/verification%20form%20_%20id%20916722246.html,http://www.phishtank.com/phish_detail.php?phish_id=1025777,2010-07-27T16:28:09+00:00,yes,2010-07-27T19:43:46+00:00,yes,PayPal
1025724,http://www.klubkej.com/components/com_weblinks/models/IBlogon.html,http://www.phishtank.com/phish_detail.php?phish_id=1025724,2010-07-27T14:27:10+00:00,yes,2010-07-27T17:05:16+00:00,yes,"HSBC Group"
1025700,http://www.coachingtravaux.fr/mobile/,http://www.phishtank.com/phish_detail.php?phish_id=1025700,2010-07-27T13:16:10+00:00,yes,2010-07-27T17:06:50+00:00,yes,PayPal
1025546,http://vadhuvar.co.in/membership/view_payments.asp?pid=6,http://www.phishtank.com/phish_detail.php?phish_id=1025546,2010-07-27T06:00:21+00:00,yes,2010-07-27T17:14:32+00:00,yes,PayPal
1025536,http://mail.beecreek.net/mail/attachment.html?id=8caf053ee75b41d661953c399761d7ba&name=eBay-SSL-Secure-Form.html&messageid=201007262101518274-00000002.imap&index=5&folder=inbox,http://www.phishtank.com/phish_detail.php?phish_id=1025536,2010-07-27T04:42:14+00:00,yes,2010-07-27T16:48:22+00:00,yes,PayPal
1025506,http://bit.ly/drypZA,http://www.phishtank.com/phish_detail.php?phish_id=1025506,2010-07-27T03:13:08+00:00,yes,2010-07-27T04:29:43+00:00,yes,PayPal
1025494,http://www.gouyet.org/fr/webscr.php,http://www.phishtank.com/phish_detail.php?phish_id=1025494,2010-07-27T02:23:08+00:00,yes,2010-07-27T03:05:23+00:00,yes,PayPal
1025420,http://5aac6.9hz.com/,http://www.phishtank.com/phish_detail.php?phish_id=1025420,2010-07-26T20:15:26+00:00,yes,2010-07-27T04:37:09+00:00,yes,Other
1025419,http://fbmhd.9hz.com/,http://www.phishtank.com/phish_detail.php?phish_id=1025419,2010-07-26T20:15:07+00:00,yes,2010-07-27T08:36:30+00:00,yes,Other
1025268,http://upgradewebmailstorage.4-all.org/,http://www.phishtank.com/phish_detail.php?phish_id=1025268,2010-07-26T14:44:31+00:00,yes,2010-07-27T04:56:31+00:00,yes,Other
1025262,http://icebrrg.com/Public/ViewForm.aspx?formID=56859,http://www.phishtank.com/phish_detail.php?phish_id=1025262,2010-07-26T14:27:18+00:00,yes,2010-07-26T17:43:39+00:00,yes,Other
1025257,http://www.tigersurvey.com/survey.php?survey=16712,http://www.phishtank.com/phish_detail.php?phish_id=1025257,2010-07-26T14:16:30+00:00,yes,2010-07-26T20:28:46+00:00,yes,Other
1025246,http://bigonattitude.com/paypal.com/,http://www.phishtank.com/phish_detail.php?phish_id=1025246,2010-07-26T13:58:17+00:00,yes,2010-07-26T14:17:45+00:00,yes,PayPal
1025215,http://mail.dobrohost.ru/rc/skins/default/images/NetBanking/acesso_seguro/Iniciar/index.html,http://www.phishtank.com/phish_detail.php?phish_id=1025215,2010-07-26T12:57:52+00:00,yes,2010-07-26T13:40:32+00:00,yes,Bradesco
1025170,http://jtty.com/vz0d,http://www.phishtank.com/phish_detail.php?phish_id=1025170,2010-07-26T09:42:42+00:00,yes,2010-07-26T14:59:51+00:00,yes,"Poste Italiane"
1025138,http://yoville.champz.info/,http://www.phishtank.com/phish_detail.php?phish_id=1025138,2010-07-26T06:25:12+00:00,yes,2010-07-27T05:12:01+00:00,yes,Other
1025133,http://bit.ly/aG2rQv,http://www.phishtank.com/phish_detail.php?phish_id=1025133,2010-07-26T05:54:16+00:00,yes,2010-07-26T13:33:07+00:00,yes,PayPal
1025117,http://bit.ly/cRmIQv,http://www.phishtank.com/phish_detail.php?phish_id=1025117,2010-07-26T04:37:14+00:00,yes,2010-07-26T13:43:44+00:00,yes,PayPal
1025021,http://freetarfand.persiangig.com/index.php,http://www.phishtank.com/phish_detail.php?phish_id=1025021,2010-07-25T18:33:10+00:00,yes,2010-07-26T03:23:44+00:00,yes,PayPal
